本地频道,#genre#
单县综合,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00001079/index.m3u8
泗水综合,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00001081/index.m3u8
陵城综合,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00001082/index.m3u8
鄄城综合,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00001084/index.m3u8
沂水综合,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00001098/index.m3u8
沂水生活,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00001099/index.m3u8
济宁高新,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00001101/index.m3u8
博兴综合,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00001102/index.m3u8
德州临邑,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00001104/index.m3u8
历城综合,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00001105/index.m3u8
鸡西移动,#genre#
 CCTV-1,http://39.134.66.4/PLTV/88888888/224/3221225816/index.m3u8#http://39.134.66.4/PLTV/88888888/224/3221225550/index.m3u8#http://39.134.66.4/PLTV/88888888/224/3221226117/index.m3u8#http://39.134.66.4/PLTV/88888888/224/3221226099/index.m3u8#http://39.134.66.4/PLTV/88888888/224/3221226060/index.m3u8#http://39.134.66.4/PLTV/88888888/224/3221226068/index.m3u8#http://39.134.66.4/PLTV/88888888/224/3221226075/index.m3u8
 CCTV-2,http://39.134.66.4/PLTV/88888888/224/3221225599/index.m3u8
 CCTV-3,http://39.134.66.4/PLTV/88888888/224/3221225799/index.m3u8
 CCTV-4,http://39.134.66.4/PLTV/88888888/224/3221226092/index.m3u8#http://39.134.66.4/PLTV/88888888/224/3221225797/index.m3u8
 CCTV-5,http://39.135.135.4/PLTV/88888888/224/3221225818/index.m3u8
 CCTV-5+,http://39.134.66.4/PLTV/88888888/224/3221225507/index.m3u8
 CCTV-6,http://39.135.135.4/PLTV/88888888/224/3221225814/index.m3u8
 CCTV-7,http://39.134.66.4/PLTV/88888888/224/3221225671/index.m3u8
 CCTV-8,http://39.134.66.4/PLTV/88888888/224/3221225795/index.m3u8
 CCTV-9,http://39.134.66.46/PLTV/88888888/224/3221225676/index.m3u8
